1:1	nqla				Qui a appelé Paul et qu'a-t-il été appelé à être ?	Jésus-Christ a appelé Paul à être un apôtre.
3:11	kmq6				Qu'est-ce que la fondation ?	Jésus-Christ en est le fondement.

3:11-13	egd8				Qu'adviendra-t-il de l'œuvre de quelqu'un qui construit sur le fondement de Jésus-Christ ?	Son œuvre sera révélée à la lumière du jour et du feu.

3:13	rtwq				Quel sera l'effet du feu sur le travail d'une personne ?	Le feu va tester le travail, révélant la qualité de ce que chacun a fait.

3:14	ptec				Que recevra une personne si son œuvre survit à l'incendie ?	Cette personne recevra une récompense.

3:15	gk8g				Qu'arrivera-t-il à la personne dont l'œuvre sera brûlée ?	Cette personne subira une perte, mais elle sera sauvée, comme si elle avait échappé à un incendie.

3:16	eg2x				Qui sommes-nous et qu'est-ce qui vit en nous en tant que croyants en Jésus-Christ ?	Nous sommes le temple de Dieu, et l'Esprit de Dieu vit en nous.

3:17	djhf				Que se passera-t-il si quelqu'un détruit le temple de Dieu ?	Dieu détruira la personne qui détruit le temple de Dieu.

3:18	i4yj				Que dit Paul à celui qui se croit sage dans ce siècle ?	Paul dit : "...qu'il devienne un "fou", afin de devenir sage."

3:20	cwq7				Que sait le Seigneur des raisonnements des sages ?	Le Seigneur sait que les raisonnements des sages sont futiles.

3:21-23	bqzi				Pourquoi Paul dit-il aux croyants de Corinthe d'arrêter de se vanter des gens ?	Il leur a dit de cesser de se vanter, "car tout est à vous", et parce que, "... vous êtes au Christ, et le Christ est à Dieu" .

4:1	k2o5				Comment Paul a-t-il dit que les Corinthiens devaient considérer Paul et ses compagnons ?	Les Corinthiens doivent les considérer comme des serviteurs du Christ et des gardiens des vérités cachées de Dieu.

4:2	q6dm				Quelle est l'une des conditions requises pour être un intendant ?	Les intendants doivent être trouvés fidèles.

4:4	i87u				Qui, selon Paul, est son juge ?	Paul dit que le Seigneur le juge.

4:5	tuac				Que fera le Seigneur quand il viendra ?	Il mettra en lumière les choses cachées des ténèbres et révélera les desseins des cœurs.

4:6	kgrk				Pourquoi Paul a-t-il appliqué ces principes à lui-même et à Apollos ?	Paul l'a fait pour le bien des croyants de Corinthe afin qu'ils apprennent le sens de l'adage "Pas au-delà de ce qui est écrit", afin qu'aucun d'entre eux ne pense en faveur de l'un contre l'autre.

4:8	f81o				Pourquoi Paul souhaite-t-il que les croyants de Corinthe règnent ?	Paul souhaiterait qu'ils règnent pour que Paul et ses compagnons puissent régner avec eux.

4:10	n6uv				Quelles sont les trois façons dont Paul se met en contraste, lui et ses compagnons, avec les croyants de Corinthe ?	Paul dit : "Nous sommes fous à cause du Christ, mais vous êtes sages en Christ. Nous sommes faibles, mais vous êtes forts. Vous êtes tenus en honneur, mais nous sommes tenus en déshonneur."

4:11	iu76				Comment Paul a-t-il décrit la condition physique des apôtres ?	Paul a dit qu'ils avaient faim et soif, qu'ils étaient mal vêtus, brutalement battus et sans abri.

4:12-13	pvtc				Comment Paul et ses compagnons ont-ils réagi lorsqu'ils ont été maltraités ?	Quand ils ont été attaqués, ils ont béni. Quand ils ont été persécutés, ils l'ont supporté. Quand ils ont été calomniés, ils ont parlé avec bonté.

4:14	axu2				Pourquoi Paul a-t-il écrit ces choses aux croyants de Corinthe ?	Il les a écrites pour les corriger comme ses enfants bien-aimés.

4:16	a7gk				Qui Paul demande-t-il aux croyants de Corinthe d'imiter ?	Paul leur dit de s'imiter.

4:17	vhai				De quoi Paul a-t-il envoyé Timothée aux croyants de Corinthe pour leur rappeler ?	Paul a envoyé Timothée à Corinthe pour rappeler aux croyants qui s'y trouvaient les voies empruntées par Paul dans le Christ.

4:18	wgi7				Comment se comportaient certains des croyants de Corinthe ?	Certains d'entre eux étaient arrogants, agissant comme si Paul ne venait pas à eux.

4:20	hirg				En quoi consiste le royaume de Dieu ?	Le royaume de Dieu consiste en un pouvoir.

5:1	hb3v				Quel rapport Paul a-t-il entendu au sujet de l'église de Corinthe ?	Paul a appris qu'il y avait là de l'immoralité sexuelle. L'un d'eux couchait avec la femme de son père.

5:2	niaf				Que doit-on faire, selon Paul, à celui qui a péché avec la femme de son père ?	Celui qui a péché avec la femme de son père doit être retiré du milieu d'eux.

5:4-5	bbnd				Comment et pourquoi cette personne qui a péché avec la femme de son père devait-elle être écartée ?	Lorsque l'église de Corinthe s'est réunie au nom du Seigneur Jésus, elle devait livrer l'homme pécheur à Satan pour la destruction de la chair, afin que son esprit soit sauvé au jour du Seigneur.

5:8	crqw				A quoi Paul compare-t-il le mauvais comportement et la méchanceté ?	Paul les compare à du levain.

5:8	ebav				Qu'est-ce que Paul utilise comme métaphore pour la sincérité et la vérité ?	Paul utilise le pain sans levain comme une métaphore de la sincérité et de la vérité.

5:9	ykxc				Avec qui Paul a-t-il dit aux croyants de Corinthe de ne pas s'associer ?	Paul leur a écrit de ne pas s'associer à des personnes sexuellement immorales.

5:10	vg24				Paul voulait-il dire qu'ils ne devaient pas fréquenter de personnes sexuellement immorales ?	Paul ne voulait pas dire les gens immoraux de ce monde. Il faudrait sortir du monde pour rester loin d'eux.

5:11	q5sz				Avec qui Paul voulait-il que les croyants de Corinthe ne s'associent pas ?	Il voulait dire qu'ils ne devaient pas s'associer à quelqu'un qui s'appelle un frère ou une sœur en Christ et qui est sexuellement immoral, cupide, violent verbalement, ivrogne, escroc ou idolâtre.

5:12	lnax				Qui les croyants sont-ils censés juger ?	Ils sont censés juger ceux qui sont à l'intérieur de l'église.

5:13	m99n				Qui juge ceux qui sont en dehors de l'église ?	Dieu juge ceux qui sont à l'extérieur.

6:1-3	h1dd				Qu'est-ce que Paul dit que les saints de Corinthe devraient être capables de juger ?	Paul dit qu'ils devraient être capables de juger les disputes entre les saints concernant les affaires de cette vie.

6:2-3	o0lm				Qui les saints jugeront-ils ?	Les saints jugeront le monde et les anges.

6:6	bwu2				Comment les chrétiens de Corinthe gèrent-ils leurs différends les uns avec les autres ?	Un croyant va au tribunal contre un autre croyant, et cette affaire est placée devant un juge qui est un non-croyant.

6:7	j267				Qu'indique le fait qu'il y ait des disputes entre les chrétiens de Corinthe ?	Cela indique que c'est une défaite pour eux.

6:9-10	s5i0				Qui n'héritera pas du royaume de Dieu ?	Les injustes : les impudiques, les idolâtres, les adultères, les prostitués, ceux qui pratiquent l'homosexualité, les voleurs, les cupides, les ivrognes, les calomniateurs et les escrocs n'hériteront pas du royaume de Dieu.

6:11	ohwt				Qu'est-il arrivé aux croyants de Corinthe qui pratiquaient auparavant l'iniquité ?	Ils ont été purifiés et sanctifiés, rendus justes avec Dieu au nom du Seigneur Jésus-Christ et par l'Esprit de notre Dieu.

6:12-13	rg4o				Quelles sont les deux choses que Paul dit qu'il ne permettra pas de maîtriser ?	Paul dit qu'il ne sera pas maîtrisé par la nourriture ou le sexe.

6:15	ds3o				Les corps des croyants sont membres de quoi ?	Leurs corps sont des membres du Christ.

6:15	hr8e				Les croyants doivent-ils s'unir à des prostituées ?	Non. Que cela ne soit jamais !

6:16	mz9c				Que se passe-t-il lorsque quelqu'un s'unit à une prostituée ?	Les deux deviendront une seule chair.

6:17	meeg				Que se passe-t-il lorsque quelqu'un s'unit au Seigneur ?	Il devient un seul esprit avec lui.

6:18	iyrg				Contre qui les gens pèchent-ils lorsqu'ils sont sexuellement immoraux ?	Ils péchent contre leur propre corps lorsqu'ils sont sexuellement immoraux.

6:19-20	mn50				Pourquoi les croyants devraient-ils glorifier Dieu avec leur corps ?	Ils doivent glorifier Dieu par leur corps, parce que celui-ci est le temple du Saint-Esprit et qu'il a été acheté à prix d'or.

7:2	q2yj				Pourquoi chaque homme devrait-il avoir sa propre femme et chaque femme son propre mari ?	En raison des tentations de nombreux actes immoraux, chaque homme devrait avoir sa propre femme et chaque femme devrait avoir son propre mari.

7:4	gmkk				La femme ou le mari ont-ils autorité sur leur propre corps ?	Non. Le mari a autorité sur le corps de sa femme, et de même, la femme a autorité sur le corps de son mari.

7:5	kp04				Quand est-il approprié pour un mari et une femme de se priver l'un de l'autre sexuellement ?	Il convient que le mari et la femme conviennent mutuellement et fixent une période de temps spécifique, afin qu'ils puissent se consacrer à la prière.

7:8	jgm6				Selon Paul, qu'est-ce qui est bon à faire pour les veuves et les célibataires ?	Paul dit qu'il est bon pour elles de rester célibataires, comme lui.

7:9	xeex				Dans quelle situation les célibataires et les veuves doivent-ils se marier ?	Ils doivent se marier s'ils brûlent de passion et ne peuvent pas se maîtriser.

7:10-11	hljh				Quel commandement le Seigneur donne-t-il à ceux qui sont mariés ?	La femme ne doit pas se séparer de son mari. Si elle se sépare de son mari, elle doit rester célibataire ou se réconcilier avec lui. De même, le mari ne doit pas divorcer de sa femme.

7:12-13	p0zd				Un mari ou une femme croyant doit-il divorcer de son conjoint non croyant ?	Si le mari ou la femme non croyant(e) est satisfait(e) de vivre avec son conjoint, le conjoint croyant ne doit pas divorcer du non croyant.

7:15	jf44				Que doit faire un croyant si son partenaire non croyant le quitte ?	Le croyant doit laisser partir le partenaire non croyant...

7:17	r33w				Quelle règle Paul a-t-il établie dans toutes les églises ?	La règle était la suivante : Que chacun vive la vie que le Seigneur lui a assignée, et à laquelle Dieu l'a appelé.

7:18	npl0				Quels conseils Paul a-t-il donnés aux incirconcis et aux circoncis ?	Paul a dit que les incirconcis ne devaient pas devenir circoncis et que les circoncis ne devaient pas essayer d'enlever les marques de leur circoncision.

7:21-23	yva1				Qu'a dit Paul à propos des esclaves ?	S'ils étaient esclaves lorsque Dieu les a appelés, ne vous en préoccupez pas, mais s'ils peuvent devenir libres, ils doivent le faire. Même s'ils étaient esclaves, ils sont libres du Seigneur. Ils ne doivent pas devenir les esclaves des hommes.

7:26	jftz				Pourquoi Paul pensait-il qu'il était bon pour un homme qui ne s'était jamais marié de rester célibataire, comme Paul l'était ?	Paul pensait qu'en raison de la crise imminente, il était bon pour un homme de rester célibataire.

7:27	tluj				Que doivent faire les croyants s'ils sont liés à une femme par un vœu de mariage ?	Ils ne doivent pas chercher à se libérer de leur vœu d'épouser la femme.

7:28	lygn				Pourquoi Paul dit-il à ceux qui sont libres d'une épouse et à ceux qui ne sont pas mariés : "Ne cherchez pas une épouse."	Il a dit cela parce qu'il voulait leur épargner les nombreuses sortes de problèmes que ceux qui se marient auront de leur vivant.

7:31	lqal				Pourquoi ceux qui traitent avec le monde devraient-ils agir comme s'ils n'avaient pas eu affaire à lui ?	Ils doivent agir ainsi parce que le système de ce monde touche à sa fin.

7:33-34	dd2h				Pourquoi est-il difficile pour les chrétiens mariés d'être unis dans leur dévotion au Seigneur ?	C'est difficile parce qu'un mari ou une femme croyante se préoccupe des choses du monde, de la manière de plaire à sa femme ou à son mari.

7:38	bjxv				Qui fait mieux que celui qui épouse sa fiancée ?	Celui qui choisit de ne pas se marier s'en sortira encore mieux.

7:39	gojg				Pendant combien de temps une femme est-elle liée à son mari ?	Elle est liée à son mari aussi longtemps qu'il vit.

7:39	ls4k				Si le mari d'une femme croyante meurt, qui peut-elle épouser ?	Elle peut épouser qui elle veut, mais seulement celui qui est dans le Seigneur.

8:1	shxy				Quel est le sujet que Paul commence à aborder dans ce chapitre ?	Paul aborde le sujet de la nourriture sacrifiée aux idoles.

8:1	foup				Quels résultats la connaissance et l'amour entraînent-ils ?	La connaissance rend fier, mais l'amour construit.

8:4	t0rk				Une idole est-elle égale à Dieu ?	Non. Une idole dans ce monde n'est rien, et il n'y a qu'un seul Dieu.

8:6	t510				Qui est le Dieu unique ?	Il n'y a qu'un seul Dieu le Père. De lui viennent toutes choses, et nous vivons pour lui.

8:6	hdyu				Qui est l'unique Seigneur ?	Il n'y a qu'un seul Seigneur Jésus-Christ, par qui tout existe, et par qui nous existons.

8:7	ulos				Que se passe-t-il lorsque certains qui pratiquaient le culte des idoles mangent de la nourriture comme si elle avait été sacrifiée à une idole ?	Leur conscience est corrompue parce qu'elle est faible.

8:8	zii4				La nourriture que nous mangeons nous rend-elle meilleurs ou pires aux yeux de Dieu ?	La nourriture ne nous recommandera pas à Dieu. Nous ne sommes pas pires si nous ne mangeons pas, ni meilleurs si nous en mangeons.

8:9	xft6				De quoi devons-nous faire attention à ce que notre liberté ne devienne pas ?	Nous devons veiller à ce que notre liberté ne devienne pas une raison de trébucher pour quelqu'un qui est faible dans la foi.

8:11	worq				Que peut-il arriver à un frère ou une sœur ayant une conscience faible si ceux qui comprennent la vraie nature des idoles ne font pas attention à l'usage de leur liberté ?	Un frère ou une sœur ayant une conscience faible peut être détruit.

8:11-12	j14x				Contre qui péchons-nous lorsque nous faisons sciemment trébucher un frère ou une sœur en Christ à cause de sa faible conscience ?	Nous péchons contre le frère ou la sœur que nous avons fait trébucher, et nous péchons contre le Christ.

8:13	eu02				Qu'est-ce que Paul dit qu'il fera si la nourriture fait trébucher son frère ou sa sœur ?	Pauls dit que si sa nourriture fait trébucher son frère ou sa sœur, il ne mangera plus jamais de viande.

9:1-2	cvek				Quelle preuve Paul a-t-il donnée qu'il était un apôtre ?	Paul dit que parce que les croyants de Corinthe étaient son ouvrage dans le Seigneur, ils étaient eux-mêmes la preuve de l'apostolat de Paul dans le Seigneur.

9:4-5	trtj				Quels droits Paul a-t-il énumérés pour les apôtres, les frères du Seigneur et Céphas ?	Paul a dit qu'ils avaient le droit de manger et de boire et le droit d'emmener avec eux une femme qui est croyante.

9:7	mz5u				Quels exemples Paul donne-t-il de ceux qui reçoivent des avantages ou une rémunération de leur travail ?	Paul mentionne les soldats, celui qui plante une vigne et celui qui garde un troupeau comme exemples de personnes qui reçoivent des avantages ou une rémunération de leur travail.

9:9	pe3c				Quel exemple de la loi de Moïse Paul a-t-il donné pour soutenir l'idée de recevoir des avantages ou un salaire de son travail ?	Pour étayer son argument, Paul cite le commandement suivant : "Ne muselle pas le bœuf quand il foule le grain."

9:12	a8jv				Pourquoi Paul et ses compagnons n'ont-ils pas revendiqué leur droit à des avantages matériels de la part des Corinthiens ?	Paul et ses compagnons n'ont pas revendiqué ce droit afin de ne pas faire obstacle à l'Évangile du Christ.

9:14	hba5				Qu'est-ce que le Seigneur a ordonné concernant ceux qui annoncent l'Évangile ?	Le Seigneur a ordonné que ceux qui annoncent l'Évangile tirent leur subsistance de l'Évangile.

9:16	rztd				De quoi Paul a-t-il dit qu'il ne pouvait pas se vanter, et pourquoi ne pouvait-il pas s'en vanter ?	Paul a dit qu'il ne pouvait pas se vanter de prêcher l'évangile, parce qu'il devait prêcher l'évangile.

9:19	o0pj				Pourquoi Paul est-il devenu le serviteur de tous ?	Paul s'est fait le serviteur de tous afin de gagner davantage de personnes à Dieu.

9:20	uh18				A qui Paul a-t-il ressemblé pour gagner les Juifs ?	Paul s'est fait passer pour un juif afin de gagner des juifs.

9:21	zqbb				A qui Paul a-t-il ressemblé pour gagner ceux qui sont en dehors de la loi ?	Paul est devenu comme ceux qui sont en dehors de la loi afin de gagner ceux qui sont en dehors de la loi.

9:23	fpvx				Pourquoi Paul a-t-il tout fait à cause de l'Évangile ?	Il a fait cela afin de pouvoir participer aux bénédictions de l'évangile.

9:24	dm5o				Comment Paul a-t-il dit de courir ?	Paul a dit de courir pour gagner le prix.

9:25	mdrr				Quel genre de couronne Paul s'apprêtait-il à recevoir ?	Paul courait afin de recevoir une couronne qui ne périt pas.

9:27	ft21				Pourquoi Paul a-t-il soumis son corps et en a-t-il fait un esclave ?	Paul a fait cela pour qu'après avoir prêché aux autres, il ne soit pas lui-même disqualifié.

10:1-4	eaaw				Quelles expériences communes leurs pères ont-ils vécues à l'époque de Moïse ?	Tous étaient sous la nuée et ont traversé la mer. Tous ont été baptisés en Moïse dans la nuée et dans la mer, et tous ont mangé la même nourriture spirituelle et bu la même boisson spirituelle.

10:4	ywzb				Qui était le rocher spirituel qui suivait leurs pères ?	Le Christ était le rocher qui les suivait.

10:6	uqfr				Pourquoi Dieu n'a-t-il pas été satisfait de leurs pères au temps de Moïse ?	Il n'était pas content parce que leurs pères désiraient des choses mauvaises.

10:9-10	bjcw				Par quel moyen Dieu a-t-il détruit le peuple désobéissant et râleur ?	Dieu les a détruits par des serpents et le destructeur, l'ange de la mort.

10:11	nxg7				Pourquoi les choses se sont-elles produites et pourquoi ont-elles été écrites ?	Ils se sont produits comme des exemples pour nous et ils ont été mis par écrit pour notre instruction.

10:13	md71				Une tentation unique nous est-elle arrivée ?	Il n'y a pas de tentation qui ne soit pas commune à toute l'humanité.

10:13	pcrh				Qu'est-ce que Dieu a fait pour nous permettre de supporter la tentation ?	Il a prévu le moyen de s'échapper pour que nous puissions supporter la tentation.

10:14	nt41				De quoi Paul avertit-il les croyants corinthiens de s'enfuir ?	Il les avertit de fuir l'idolâtrie.

10:16	t64w				Quelle est la coupe de bénédiction que les croyants bénissent, et quel est le pain qu'ils rompent ?	La coupe est une participation au sang du Christ. Le pain est une participation au corps du Christ.

10:20	m2tj				A qui les païens offrent-ils leurs sacrifices ?	Ils offrent ces choses aux démons et non à Dieu.

10:20-21	mayf				Puisque Paul ne voulait pas que les croyants de Corinthe soient des participants avec des démons, que leur dit-il qu'ils ne peuvent pas faire ?	Paul leur dit qu'ils ne peuvent pas boire la coupe du Seigneur et la coupe des démons, et qu'ils ne peuvent pas être en communion à la table du Seigneur et à la table des démons.

10:22	nqyj				Que risquons-nous si, en tant que croyants du Seigneur, nous participons aussi avec les démons ?	Nous risquons de provoquer la jalousie du Seigneur.

10:24	uzgi				Devons-nous chercher notre propre bien ?	Non. Au contraire, chacun doit chercher le bien de son prochain.

10:27	g0lx				Si un non-croyant vous invite à prendre un repas et que vous souhaitez y aller, que devez-vous faire ?	Vous devez manger tout ce qui vous est proposé sans vous poser de questions de conscience.

10:28-29	jgng				Si votre hôte incroyant vous dit que la nourriture que vous êtes sur le point de manger provient d'un sacrifice païen, pourquoi ne devriez-vous pas la manger ?	Vous ne devriez pas le manger, par égard pour la personne qui vous a informé et par égard pour la conscience de l'autre personne.

10:31	eyhg				Que devons-nous faire pour la gloire de Dieu ?	Nous devons faire toutes choses, y compris manger et boire, pour la gloire de Dieu.

10:32-33	anma				Pourquoi ne devrions-nous pas offenser les Juifs, les Grecs ou l'Église de Dieu ?	Nous ne devons pas les offenser afin qu'ils soient sauvés.

11:1	zv18				Qui Paul a-t-il dit aux croyants de Corinthe d'imiter ?	Paul leur a dit de s'imiter.

11:1	hxu8				Qui Paul a-t-il imité ?	Paul était un imitateur du Christ.

11:2	noh3				De quoi Paul a-t-il loué les croyants de Corinthe ?	Paul les a félicités de se souvenir de lui en toutes choses et de s'en tenir aux traditions telles qu'il les a transmises aux Corinthiens.

11:3	fbzu				Qui est la tête du Christ ?	Dieu est la tête du Christ.

11:3	p9ff				Qui est le chef de l'homme ?	Le Christ est la tête de chaque homme.

11:3	mn02				Qui est le chef de la femme ?	L'homme est le chef de la femme.

11:4	aetp				Que se passe-t-il quand un homme prie la tête couverte ?	Il déshonore sa tête s'il prie la tête couverte.

11:5	mrpi				Que se passe-t-il lorsqu'une femme prie la tête découverte ?	Toute femme qui prie la tête découverte déshonore sa tête.

11:7	bgmr				Pourquoi un homme ne devrait-il pas avoir la tête couverte ?	Il ne doit pas avoir la tête couverte car il est l'image et la gloire de Dieu.

11:9	ratf				Pour qui la femme a-t-elle été créée ?	La femme a été créée pour l'homme.

11:11-12	i00n				Pourquoi la femme et l'homme sont-ils dépendants l'un de l'autre ?	La femme vient de l'homme, et l'homme vient de la femme.

11:13	i31f				Quelle était la pratique de Paul, de ses associés et des églises de Dieu concernant la prière des femmes ?	Les femmes avaient l'habitude de prier la tête couverte.

11:19	ifwp				Pourquoi doit-il y avoir des factions parmi les chrétiens de Corinthe ?	Il doit y avoir des factions parmi eux afin que ceux qui sont approuvés puissent être reconnus parmi eux.

11:21	excy				Ce qui se passait quand l'église de Corinthe se réunissait pour manger.	Quand ils mangeaient, chacun mangeait sa propre nourriture avant que les autres aient leur repas. L'un avait faim, l'autre s'enivrait.

11:23-24	q76g				La nuit où il a été trahi, qu'a dit le Seigneur après avoir rompu le pain ?	Il a dit : "Ceci est mon corps, qui est pour vous ; faites ceci en mémoire de moi."

11:25	vtpv				Qu'a dit le Seigneur lorsqu'il a pris la coupe après le repas ?	Il a dit : "Cette coupe est la nouvelle alliance en mon sang. Faites ceci chaque fois que vous en boirez, en mémoire de moi."

11:26	iy64				Que faites-vous chaque fois que vous mangez ce pain et buvez cette coupe ?	Vous proclamez la mort du Seigneur jusqu'à ce qu'il vienne.

11:27	fw4u				Pourquoi une personne ne devrait-elle pas manger le pain ou boire la coupe du Seigneur d'une manière indigne ?	En agissant ainsi, vous vous rendez coupable du corps et du sang du Seigneur.

11:29	alql				Qu'arrive-t-il à la personne qui mange le pain ou boit la coupe sans discernement ?	En agissant ainsi, cette personne mange et boit selon son propre jugement.

11:30	puxg				Qu'est-il arrivé à plusieurs membres de l'église de Corinthe qui ont mangé le pain et bu la coupe du Seigneur de manière indigne ?	Beaucoup d'entre eux sont tombés malades, et certains sont morts.

11:33	z77y				Que dit Paul aux croyants de Corinthe lorsqu'ils se réunissent pour manger ?	Il leur dit d'attendre l'un l'autre.

12:1	u620				Sur quoi Paul veut-il que les chrétiens de Corinthe soient informés ?	Paul veut qu'ils soient informés des dons spirituels.

12:3	q4ki				Qu'est-ce que celui qui parle par l'Esprit de Dieu n'est pas capable de dire ?	Il ne peut pas dire : "Jésus est maudit."

12:3	d393				Comment peut-on dire : "Jésus est Seigneur" ?	On ne peut dire "Jésus est Seigneur" que par le Saint-Esprit.

12:4-6	fi5g				Qu'est-ce que Dieu rend possible dans chaque croyant ?	Il rend possible dans chaque croyant différents dons, différents ministères et différents types de travail.

12:7	zgje				Pourquoi la manifestation extérieure de l'Esprit est-elle donnée ?	Elle est donnée pour le bénéfice de tous.

12:9-10	y5e4				Quels sont certains des dons donnés par l'Esprit ?	Certains de ces dons sont la foi, les dons de guérison, les actes de puissance, la prophétie, la capacité de distinguer les esprits, les différentes sortes de langues et l'interprétation des langues.

