Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:28	byg2	keyterm	בַּ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:28	swf4	keyterm	בְּנֵ֥י	1	rc://*/tw/dict/bible/kt/son
1:29	f9zn	keyterm	תַֽעַרְצ֥וּ⁠ן	1	rc://*/tw/dict/bible/kt/fear
1:29	d57x	keyterm	תִֽירְא֖וּ⁠ן	1	rc://*/tw/dict/bible/kt/fear
1:30	vfqw	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:30	hx5r	keyterm	אֱלֹֽהֵי⁠כֶם֙	1	rc://*/tw/dict/bible/kt/god
1:30	pmz5	name	בְּ⁠מִצְרַ֖יִם	1	rc://*/tw/dict/bible/names/egypt
1:31	epjz	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:31	z427	keyterm	אֱלֹהֶ֔י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
1:31	bsbx	keyterm	בְּנ֑⁠וֹ	1	rc://*/tw/dict/bible/kt/son
1:31	n4by		הֲלַכְתֶּ֔ם	1	rc://*/tw/dict/bible/other/walk
1:32	wkea	keyterm	מַאֲמִינִ֔ם	1	rc://*/tw/dict/bible/kt/faithful
1:32	ns3w	keyterm	בַּ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:32	ds3y	keyterm	אֱלֹהֵי⁠כֶֽם	1	rc://*/tw/dict/bible/kt/god
1:33	m5ve		בָּ⁠אֵ֣שׁ	1	rc://*/tw/dict/bible/other/fire
1:33	uwmc		תֵּֽלְכוּ	1	rc://*/tw/dict/bible/other/walk
1:34	pkcz	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:34	bbwm		וַ⁠יִּשָּׁבַ֥ע	1	rc://*/tw/dict/bible/other/oath
1:35	n8yq	keyterm	הָ⁠רָ֖ע	1	rc://*/tw/dict/bible/kt/evil
1:35	tntt		הָ⁠אָ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
1:35	tqyj	keyterm	הַ⁠טּוֹבָ֔ה	1	rc://*/tw/dict/bible/kt/good
1:35	yg87		נִשְׁבַּ֔עְתִּי	1	rc://*/tw/dict/bible/other/oath
1:35	cvbd		לַ⁠אֲבֹתֵי⁠כֶֽם	1	rc://*/tw/dict/bible/other/father
1:36	gg6r	keyterm	בֶּן	1	rc://*/tw/dict/bible/kt/son
1:36	n3e2		הָ⁠אָ֛רֶץ	1	rc://*/tw/dict/bible/other/earth
1:36	r3ps	keyterm	וּ⁠לְ⁠בָנָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/son
1:36	dj6x	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:37	wvpv	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:38	p1jg	name	יְהוֹשֻׁ֤עַ	1	rc://*/tw/dict/bible/names/joshua
1:38	x943	name	יְהוֹשֻׁ֤עַ	1	rc://*/tw/dict/bible/names/joshua
1:38	jfk3	keyterm	בִּן	1	rc://*/tw/dict/bible/kt/son
1:38	u52h	keyterm	הָ⁠עֹמֵ֣ד	1	rc://*/tw/dict/bible/kt/minister
1:38	fyar		חַזֵּ֔ק	1	rc://*/tw/dict/bible/other/strength
1:38	zpwj	keyterm	יַנְחִלֶ֥⁠נָּה	1	rc://*/tw/dict/bible/kt/inherit
1:38	gqr4	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:39	rxkc	keyterm	וּ֠⁠בְנֵי⁠כֶם	1	rc://*/tw/dict/bible/kt/son
1:39	hhe5		יָדְע֤וּ	1	rc://*/tw/dict/bible/other/know
1:39	s9eb	keyterm	ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
1:41	f9f9	keyterm	חָטָאנוּ֮	1	rc://*/tw/dict/bible/kt/sin
1:41	aqsy	keyterm	לַֽ⁠יהוָה֒	1	rc://*/tw/dict/bible/kt/yahweh
1:41	r9g2	keyterm	צִוָּ֖⁠נוּ	1	rc://*/tw/dict/bible/kt/command
1:41	c6a3	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:41	n5n2	keyterm	אֱלֹהֵ֑י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:42	mv22	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:42	wsga		אֹיְבֵי⁠כֶֽם	1	rc://*/tw/dict/bible/other/adversary
1:43	qtjs		וַ⁠תַּמְרוּ֙	1	rc://*/tw/dict/bible/other/disobey
1:43	en5w	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:44	ws2a	keyterm	וַ⁠יֵּצֵ֨א	1	rc://*/tw/dict/bible/kt/command
1:44	m8ud	name	הָ⁠אֱמֹרִ֜י	1	rc://*/tw/dict/bible/names/amorite
1:45	s67a		וַ⁠תָּשֻׁ֥בוּ	1	rc://*/tw/dict/bible/other/return
1:45	r33g	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:45	htjh	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:45	qxvs		בְּ⁠קֹ֣לְ⁠כֶ֔ם	1	rc://*/tw/dict/bible/other/voice
2:1	pzy5	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:2	tya6	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:4	b224		הָ⁠עָם֮	1	rc://*/tw/dict/bible/other/peoplegroup
2:4	xqe2	keyterm	צַ֣ו	1	rc://*/tw/dict/bible/kt/command
2:4	qtd7	keyterm	אֲחֵי⁠כֶ֣ם	1	rc://*/tw/dict/bible/kt/brother
2:4	rnuk	keyterm	בְּנֵי	1	rc://*/tw/dict/bible/kt/son
2:4	mk26	name	עֵשָׂ֔ו	1	rc://*/tw/dict/bible/names/esau
2:4	hxek	keyterm	וְ⁠יִֽירְא֣וּ	1	rc://*/tw/dict/bible/kt/fear
2:5	yadi	name	לְ⁠עֵשָׂ֔ו	1	rc://*/tw/dict/bible/names/esau
2:5	a2bz		כַּף	1	rc://*/tw/dict/bible/other/hand
2:5	ayem	keyterm	יְרֻשָּׁ֣ה	1	rc://*/tw/dict/bible/kt/inherit
2:6	fwsf		בַּ⁠כֶּ֖סֶף	1	rc://*/tw/dict/bible/other/silver
2:6	q9r2		וַ⁠אֲכַלְתֶּ֑ם	1	rc://*/tw/dict/bible/other/devour
2:6	yug8		בַּ⁠כֶּ֖סֶף	2	rc://*/tw/dict/bible/other/silver
2:7	nvuc	keyterm	יְהוָ֨ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	sr35	keyterm	אֱלֹהֶ֜י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
2:7	bd2q	keyterm	בֵּֽרַכְ⁠ךָ֗	1	rc://*/tw/dict/bible/kt/bless
2:7	hpf3		יָדֶ֔⁠ךָ	1	rc://*/tw/dict/bible/other/hand
2:7	p5wx		יָדַ֣ע	1	rc://*/tw/dict/bible/other/know
2:7	q6j5		לֶכְתְּ⁠ךָ֔	1	rc://*/tw/dict/bible/other/walk
2:7	yd82	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	yyht	keyterm	אֱלֹהֶ֨י⁠ךָ֙	1	rc://*/tw/dict/bible/kt/god
2:8	avg8		וַֽ⁠נַּעֲבֹ֞ר	1	rc://*/tw/dict/bible/other/preach
2:8	dmjz	keyterm	אַחֵ֣י⁠נוּ	1	rc://*/tw/dict/bible/kt/brother
2:8	p827	keyterm	בְנֵי	1	rc://*/tw/dict/bible/kt/son
2:8	d4ch	name	עֵשָׂ֗ו	1	rc://*/tw/dict/bible/names/esau
2:8	aub2	name	הָֽ⁠עֲרָבָ֔ה	1	rc://*/tw/dict/bible/names/arabah
2:8	cjjp		וַֽ⁠נַּעֲבֹ֔ר	1	rc://*/tw/dict/bible/other/preach
2:8	c7tf	name	מוֹאָֽב	1	rc://*/tw/dict/bible/names/moab
2:9	lzvl	name	ל֔וֹט	1	rc://*/tw/dict/bible/names/lot
2:9	xq8u	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
2:9	acbp	name	מוֹאָ֔ב	1	rc://*/tw/dict/bible/names/moab
2:9	rwfb	keyterm	יְרֻשָּׁ֔ה	1	rc://*/tw/dict/bible/kt/inherit
2:9	yadn	keyterm	לִ⁠בְנֵי	1	rc://*/tw/dict/bible/kt/son
2:9	ttcg	keyterm	יְרֻשָּֽׁה	1	rc://*/tw/dict/bible/kt/inherit
2:10	zbpt		עַ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:10	dtu2	keyterm	וָ⁠רָ֖ם	1	rc://*/tw/dict/bible/kt/exalt
2:11	zkbv	keyterm	יִקְרְא֥וּ	1	rc://*/tw/dict/bible/kt/call
2:12	s45u	keyterm	וּ⁠בְנֵ֧י	1	rc://*/tw/dict/bible/kt/son
2:12	t3q3	name	עֵשָׂ֣ו	1	rc://*/tw/dict/bible/names/esau
2:12	h7q4	keyterm	יִשְׂרָאֵ֗ל	1	rc://*/tw/dict/bible/kt/israel
2:12	gwtx	keyterm	יְרֻשָּׁת֔⁠וֹ	1	rc://*/tw/dict/bible/kt/inherit
2:12	jwx2	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:13	dxzb		וְ⁠עִבְר֥וּ	1	rc://*/tw/dict/bible/other/preach
2:13	afkw		וַֽ⁠נַּעֲבֹ֖ר	1	rc://*/tw/dict/bible/other/preach
2:14	hdq9		הָלַ֣כְנוּ	1	rc://*/tw/dict/bible/other/walk
2:14	u3ux		נִשְׁבַּ֥ע	1	rc://*/tw/dict/bible/other/oath
2:14	zjkt	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:15	rtfc		יַד	1	rc://*/tw/dict/bible/other/hand
2:15	zvsq	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:15	wsrc		לְ⁠הֻמָּ֖⁠ם	1	rc://*/tw/dict/bible/other/consume
2:16	uzxh		לָ⁠מ֖וּת	1	rc://*/tw/dict/bible/other/death
2:16	chjs		הָ⁠עָֽם	1	rc://*/tw/dict/bible/other/peoplegroup
2:17	zmn4	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:18	h5mh	name	מוֹאָ֖ב	1	rc://*/tw/dict/bible/names/moab
2:19	mvsa	name	ל֖וֹט	1	rc://*/tw/dict/bible/names/lot
2:19	heww	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
2:19	xf6r	keyterm	בְּנֵי	1	rc://*/tw/dict/bible/kt/son
2:19	e2wc	keyterm	יְרֻשָּׁ֔ה	1	rc://*/tw/dict/bible/kt/inherit
2:19	fdwr	keyterm	לִ⁠בְנֵי	1	rc://*/tw/dict/bible/kt/son
2:19	kaak	keyterm	יְרֻשָּֽׁה	1	rc://*/tw/dict/bible/kt/inherit
2:20	pa22		רְפָאִ֥ים	1	rc://*/tw/dict/bible/other/earth
2:20	c6yy	name	וְ⁠הָֽ⁠עַמֹּנִ֔ים	1	rc://*/tw/dict/bible/names/ammon
2:20	afsb	keyterm	יִקְרְא֥וּ	1	rc://*/tw/dict/bible/kt/call
2:21	d99b		עַ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:21	s2zm	keyterm	וָ⁠רָ֖ם	1	rc://*/tw/dict/bible/kt/exalt
2:21	pyem	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:21	cgg9	keyterm	וַ⁠יִּירָשֻׁ֖⁠ם	1	rc://*/tw/dict/bible/kt/inherit
2:22	fqmp	keyterm	לִ⁠בְנֵ֣י	1	rc://*/tw/dict/bible/kt/son
2:22	bzwn	name	עֵשָׂ֔ו	1	rc://*/tw/dict/bible/names/esau
2:22	fgu9	keyterm	וַ⁠יִּֽירָשֻׁ⁠ם֙	1	rc://*/tw/dict/bible/kt/inherit
2:24	fkf7		וְ⁠עִבְרוּ֮	1	rc://*/tw/dict/bible/other/preach
2:24	euv7		בְ֠⁠יָדְ⁠ךָ	1	rc://*/tw/dict/bible/other/hand
2:24	mmwv		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
2:24	r639	name	הָֽ⁠אֱמֹרִ֛י	1	rc://*/tw/dict/bible/names/amorite
2:24	g2b2		אַרְצ֖⁠וֹ	1	rc://*/tw/dict/bible/other/earth
2:25	w9dg	keyterm	פַּחְדְּ⁠ךָ֙	1	rc://*/tw/dict/bible/kt/fear
2:25	njzm		פְּנֵי֙	1	rc://*/tw/dict/bible/other/face
2:25	vpd3		הָֽ⁠עַמִּ֔ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:25	wn4v	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
2:26	jv4n		מַלְאָכִים֙	1	rc://*/tw/dict/bible/other/messenger
2:26	rgbq		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
2:26	ghy4		שָׁל֖וֹם	1	rc://*/tw/dict/bible/other/peace
2:27	ty9y		אֵלֵ֑ךְ	1	rc://*/tw/dict/bible/other/walk
2:28	bb8f		בַּ⁠כֶּ֤סֶף	1	rc://*/tw/dict/bible/other/silver
2:28	ykm7		וְ⁠אָכַ֔לְתִּי	1	rc://*/tw/dict/bible/other/devour
2:28	ahj7		בַּ⁠כֶּ֥סֶף	1	rc://*/tw/dict/bible/other/silver
2:29	h5j8	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
2:29	h539	name	עֵשָׂ֗ו	1	rc://*/tw/dict/bible/names/esau
2:29	g33w	name	הַ⁠יַּרְדֵּ֔ן	1	rc://*/tw/dict/bible/names/jordanriver
2:29	s266		הָ⁠אָ֕רֶץ	1	rc://*/tw/dict/bible/other/earth
2:29	sqss	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:29	ecb8	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
2:30	pr2p		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
2:30	hwfp	keyterm	יְהוָ֨ה	1	rc://*/tw/dict/bible/kt/yahweh
2:30	kfer	keyterm	אֱלֹהֶ֜י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
2:30	rbhc	keyterm	רוּח֗⁠וֹ	1	rc://*/tw/dict/bible/kt/spirit
2:30	tmzd		וְ⁠אִמֵּץ֙	1	rc://*/tw/dict/bible/other/courage
2:30	kard	keyterm	לְבָב֔⁠וֹ	1	rc://*/tw/dict/bible/kt/heart
2:30	j6xd		בְ⁠יָדְ⁠ךָ֖	1	rc://*/tw/dict/bible/other/hand
2:31	cbfz	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:31	guk7		אַרְצ֑⁠וֹ	1	rc://*/tw/dict/bible/other/earth
2:31	ctjx		לָ⁠רֶ֖שֶׁת	1	rc://*/tw/dict/bible/other/possess
2:31	spvr		אַרְצֽ⁠וֹ	1	rc://*/tw/dict/bible/other/earth
2:32	jdqn	keyterm	וַ⁠יֵּצֵא֩	1	rc://*/tw/dict/bible/kt/command
2:32	qyxp		עַמּ֛⁠וֹ	1	rc://*/tw/dict/bible/other/peoplegroup
2:33	yy5y	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:33	md7a	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
2:33	nxss	keyterm	בנ⁠ו	1	rc://*/tw/dict/bible/kt/son
2:33	e4kj		עַמּֽ⁠וֹ	1	rc://*/tw/dict/bible/other/peoplegroup
2:34	rqhu		וַֽ⁠נַּחֲרֵם֙	1	rc://*/tw/dict/bible/other/destroyer
2:36	zxm6	name	הַ⁠גִּלְעָ֔ד	1	rc://*/tw/dict/bible/names/gilead
2:36	k4nb	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:36	fnjz	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
2:37	qsj2		אֶ֥רֶץ	1	rc://*/tw/dict/bible/other/earth
2:37	j993	keyterm	בְּנֵי	1	rc://*/tw/dict/bible/kt/son
2:37	a6hg		יַ֞ד	1	rc://*/tw/dict/bible/other/hand
2:37	nu69	keyterm	צִוָּ֖ה	1	rc://*/tw/dict/bible/kt/command
2:37	qv7e	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:37	zve3	keyterm	אֱלֹהֵֽי⁠נוּ	1	rc://*/tw/dict/bible/kt/god
3:1	xhe8	name	הַ⁠בָּשָׁ֑ן	1	rc://*/tw/dict/bible/names/bashan
3:1	dgn3	keyterm	וַ⁠יֵּצֵ֣א	1	rc://*/tw/dict/bible/kt/command
3:1	dxuu		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
3:1	af8m	name	הַ⁠בָּשָׁ֨ן	1	rc://*/tw/dict/bible/names/bashan
3:1	utj9		עַמּ֛⁠וֹ	1	rc://*/tw/dict/bible/other/peoplegroup
