Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

GAL	1	2	d737	figs-gendernotations	ἀδελφοί	1	brothers	Ici, **frères** désigne les compagnons chrétiens, y compris les hommes et les femmes, puisque tous les croyants en Christ sont membres d'une seule famille spirituelle, avec Dieu comme Père céleste. Traduction alternative : "frères et sœurs" (Voir : [[rc://en/ta/man/translate/figs-gendernotations]])

GAL	1	4	yk9g	figs-metonymy	περὶ τῶν ἁμαρτιῶν ἡμῶν	1	for our sins	Ici, **péchés** se réfère figurativement à la punition pour le péché. Traduction alternative : " prendre la punition que nous avons méritée à cause de nos péchés " ou " prendre la punition pour nos péchés " (Voir : [[rc://en/ta/man/translate/figs-metonymy]]).

GAL	1	3	nxtz		χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ Πατρὸς καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1		Après avoir présenté les expéditeurs et les destinataires de la lettre, Paul donne une bénédiction. Utilisez une forme que les gens reconnaîtraient comme une bénédiction dans votre langue. Traduction alternative : "Que Dieu notre Père et le Seigneur Jésus-Christ vous donnent la grâce et la paix." (Voir : [[rc://en/ta/man/translate/translate-blessing]])

GAL	1	3	psjz	figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήν	1		Si cela était plus clair dans votre langue, vous pourriez exprimer l'idée derrière les noms abstraits **grâce** et **paix** avec des adjectifs tels que "gracieux" et "paisible". Traduction alternative : "Que Dieu notre Père et notre Seigneur Jésus-Christ vous fasse grâce et vous rende paisible" (Voir : [[rc://en/ta/man/translate/figs-abstractnouns]]).

GAL	1	4	f6d5	figs-metonymy	ἐκ τοῦ αἰῶνος τοῦ ἐνεστῶτος πονηροῦ	1	that he might deliver us from this present evil age	Ici, **ce présent âge mauvais** ne fait pas référence à une période de temps, mais aux attitudes et activités actuelles de l'humanité en contraste avec Dieu. Traduction alternative : " afin qu'il nous mette à l'abri des puissances mauvaises à l'œuvre dans le monde actuel " ou " afin qu'il nous libère des puissances mauvaises à l'œuvre dans le monde actuel "(Voir : [[rc://en/ta/man/translate/figs-metonymy]]).

GAL	1	6	f74p		θαυμάζω	1	I am amazed	Traduction alternative : "Je suis surpris" ou "Je suis choqué". Paul était très attristé par le fait que les habitants de Galatie ne menaient pas une vie qui montrait qu'ils avaient confiance dans le Messie.

GAL	1	6	v438	figs-metaphor	οὕτως ταχέως, μετατίθεσθε ἀπὸ τοῦ καλέσαντος	1	you are turning away so quickly from him	Ici, **vous vous détournez** au sens figuré désigne le fait de douter ou de ne plus faire confiance à Dieu. Traduction alternative : " vous vous mettez si vite à douter de lui " ou " vous vous détournez si vite de Dieu " (Voir : [[rc://en/ta/man/translate/figs-metaphor]]).

GAL	1	7	gy1i		οἱ ταράσσοντες	1	some men	Traduction alternative : "remuer", "causer une grande détresse", ou "vous confondre".

GAL	1	8	s5uq		παρ’ ὃ εὐηγγελισάμεθα	1	other than the one	Traduction alternative : "différent de l'évangile" ou "différent du message".

GAL	1	8	xb2c		ἀνάθεμα ἔστω	1	let him be cursed	Si votre langue a une façon commune de lancer un mauvais sort à quelqu'un, vous devriez l'utiliser.

GAL	1	10	b2vc	figs-rquestion	ἄρτι γὰρ ἀνθρώπους πείθω ἢ τὸν Θεόν? ἢ ζητῶ ἀνθρώποις ἀρέσκειν	1	For am I now seeking the approval of men or God? Am I seeking to please men?	Ces questions rhétoriques attendent la réponse "non". Traduction alternative : "Je ne cherche pas l'approbation des hommes, mais je cherche plutôt l'approbation de Dieu. Je ne cherche pas à plaire aux hommes." (Voir : [[rc://en/ta/man/translate/figs-rquestion]])

GAL	1	10	fl3c		εἰ ἔτι ἀνθρώποις ἤρεσκον, Χριστοῦ δοῦλος οὐκ ἂν ἤμην	1	If I am still trying to please men, I am not a servant of Christ	Cette phrase est contraire à la réalité. Autre traduction : "Je ne cherche pas encore à plaire aux hommes, je suis un serviteur du Christ".

GAL	1	11	hew1		ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον	1		Traduction alternative : "ne provient pas d'un humain" ou "n'est pas issu des pensées d'une personne".

GAL	1	12	wed1		δι’ ἀποκαλύψεως Ἰησοῦ Χριστοῦ	1	it was by revelation of Jesus Christ to me	Cela pourrait signifier : (1) "Jésus-Christ m'a révélé l'Évangile" ou (2) "Dieu m'a fait connaître l'Évangile lorsqu'il m'a montré Jésus-Christ".

GAL	1	13	f3gl		ἀναστροφήν ποτε	1	former life	Traduction alternative : "mon comportement à une époque" ou "ma vie antérieure", ou "ma vie d'avant".

GAL	1	15	wd26		καλέσας διὰ τῆς χάριτος αὐτοῦ	1	who called me through his grace	Cela pourrait signifier : (1) "Dieu m'a appelé à le servir parce qu'il est gracieux" (2) "il m'a appelé au moyen de sa grâce".

GAL	1	16	l97h		ἀποκαλύψαι τὸν Υἱὸν αὐτοῦ ἐν ἐμοὶ	1	to reveal his Son in me	1test Cela pourrait signifier : (1) "me permettre de connaître son Fils" (2) "révéler son Fils aux autres à travers moi".

GAL	1	16	l5bb	guidelines-sonofgodprinciples	τὸν Υἱὸν	1	Son	C'est un titre important pour Jésus. (Voir : [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])

GAL	1	16	xx4c		εὐαγγελίζωμαι αὐτὸν	1	preach him	Traduction alternative : "proclamer que Jésus est le Fils de Dieu" ou "prêcher la bonne nouvelle du Fils de Dieu".

GAL	1	16	qme5	figs-idiom	προσανεθέμην σαρκὶ καὶ αἵματι	1	consult with flesh and blood	Ici, **Consulter la chair et le sang** au sens figuré, désigne le fait de parler avec d'autres personnes. (Voir : [[rc://en/ta/man/translate/figs-idiom]])

GAL	1	17	qh88		ἀνῆλθον εἰς Ἱεροσόλυμα	1	go up to Jerusalem	Jérusalem se trouvait dans une région de hautes collines, ce qui rendait nécessaire l'ascension de nombreuses collines pour s'y rendre, et il était donc courant de décrire le voyage à Jérusalem comme "to **> go up to Jerusalem <**".

GAL	1	17	zqih		ἀπῆλθον εἰς Ἀραβίαν	1		La région d'Arabie était située au sud de Damas et de Jérusalem.

GAL	1	19	av43	figs-doublenegatives	ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον, εἰ μὴ Ἰάκωβον	1	I saw none of the other apostles except James	Cette double négation souligne que Jacques était le seul autre apôtre que Pierre que Paul ait vu. Traduction alternative : "le seul autre apôtre que j'ai vu était Jacques" (Voir : [[rc://en/ta/man/translate/figs-doublenegatives]])

GAL	1	20	h3cb	figs-litotes	ἃ δὲ γράφω ὑμῖν, ἰδοὺ, ἐνώπιον τοῦ Θεοῦ ὅτι οὐ ψεύδομαι	1	In what I write to you, I assure you before God, that I am not lying	Paul souligne qu'il dit la vérité. Traduction alternative : " Je ne vous mens pas dans les messages que je vous écris " ou " dans les choses que je vous écris, je vous dis la vérité " (Voir : [[rc://en/ta/man/translate/figs-litotes]]).

GAL	1	22	y6l4		ἤμην δὲ ἀγνοούμενος τῷ προσώπῳ ταῖς ἐκκλησίαις τῆς Ἰουδαίας, ταῖς ἐν Χριστῷ	1	I was still not personally known to the churches of Judea that are in Christ	Traduction alternative : "Aucun des gens des églises de Judée qui sont en Christ ne m'avait jamais rencontré".

GAL	2	intro	xe28			0		# Galates 2 Notes générales<br><br>## Structure et mise en forme<br><br>Paul continue de défendre le véritable évangile. Cela a commencé dans [Galates 1:11](../../gal/01/11.md).<br><br>## Notions spéciales dans ce chapitre<br><br>## Liberté et esclavage<br><br>Tout au long de cette lettre, Paul oppose la liberté et l'esclavage. Le chrétien est libre en Christ de faire beaucoup de choses différentes. Mais le chrétien qui essaie de suivre la loi de Moïse doit suivre toute la loi. Paul décrit le fait d'essayer de suivre la loi comme un type d'esclavage. (Voir : [[rc://en/tw/dict/bible/kt/lawofmoses]])<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>#### "Je ne nie pas la grâce de Dieu"<br><br>Paul enseigne que, si un chrétien tente de suivre la loi de Moïse, il ne comprend pas la grâce que Dieu lui a manifestée. Il s'agit là d'une erreur fondamentale. Mais Paul utilise les mots "Je ne nie pas la grâce de Dieu" comme un type de situation hypothétique. Le but de cette déclaration pourrait être vu comme : " Si vous pouviez être sauvé en suivant la loi, alors cela nierait la grâce de Dieu. " (Voir : [[rc://en/tw/dict/bible/kt/grace]] et [[rc://en/ta/man/translate/figs-hypo]])

GAL	2	1	zt61			0	Connecting Statement:	Paul continue à raconter comment il a appris l'Évangile de Dieu, et non des apôtres.

GAL	2	1	zth5		ἀνέβην	1	went up	Ici, **> montait <** est utilisé parce que Jérusalem est située dans un pays vallonné. Les Juifs considéraient également Jérusalem comme l'endroit sur terre qui est le plus proche du ciel, donc Paul peut avoir parlé au sens figuré, ou il se peut que cela reflète le voyage difficile, en montée, pour se rendre à Jérusalem.

GAL	2	2	msv4		τοῖς δοκοῦσιν	1	those who seemed to be important	Traduction alternative : "à ceux qui étaient reconnus comme les surveillants importants des croyants" ou "avec ceux qui étaient considérés comme les dirigeants de l'église".

GAL	2	2	ejb8	figs-doublenegatives	τρέχω ἢ ἔδραμον	1	I was not running—or had not run—in vain	Paul utilise la course à pied comme métaphore pour comparer son travail de prédication de l'évangile à une personne qui court une course. Paul a travaillé dur pour prêcher l'évangile. Il voulait que l'évangile qu'il prêchait ait des effets durables. Traduction alternative : "Je ne voulais pas travailler dur pour Dieu inutilement" ou "Je ne voulais pas que mon dur labeur soit gaspillé".

GAL	2	2	t6we		μή πως εἰς κενὸν	1	in vain	Paul craignait que s'il n'expliquait pas l'évangile en privé aux dirigeants, ceux-ci pourraient mal comprendre l'évangile, ou que d'autres le dénaturent. La double négation peut être représentée positivement : " Je faisais un travail profitable " (Voir : [[rc://en/ta/man/translate/figs-doublenegatives]] et [[rc://en/ta/man/translate/figs-metaphor]]) Autre traduction : " pour aucun bénéfice " ou " pour rien ".

GAL	2	3	xs8k	figs-activepassive	περιτμηθῆναι	1	to be circumcised	Si votre langue n'utilise pas la forme passive de cette manière, vous pouvez l'énoncer à la forme active ou d'une autre manière qui soit naturelle dans votre langue. Traduction alternative : "se faire circoncire par quelqu'un" (Voir : [[rc://en/ta/man/translate/figs-activepassive]])

GAL	2	4	j5ka		τοὺς παρεισάκτους ψευδαδέλφους	1	The false brothers came in secretly	Traduction alternative : "Des gens qui prétendaient être chrétiens sont entrés dans l'église" ou "Des gens qui disaient être chrétiens mais ne l'étaient pas sont entrés dans notre groupe".

GAL	2	4	mzx0		διὰ δὲ	1		**> Mais c'est à cause de <** pourrait être : (1) relié au v. 1, qui donne la raison pour laquelle Paul a expliqué l'évangile en privé aux dirigeants de Jérusalem (2) relié au v. 3, qui explique pourquoi les gens voulaient circoncire Tite (3) sans lien et commence une phrase inachevée.

GAL	2	4	l7n7	figs-explicit	ἵνα ἡμᾶς καταδουλώσουσιν	1	to make us slaves	Paul parle de la manière dont ces gens voulaient forcer les croyants galates à suivre les rituels juifs prescrits par la loi. Il parle de suivre la loi comme si c'était de l'esclavage. Autre traduction possible : "pour nous forcer à obéir à la loi "ou "pour nous rendre esclaves de la loi" (Voir : [[rc://en/ta/man/translate/figs-explicit]] et [[rc://en/ta/man/translate/figs-metaphor]])

GAL	2	5	bba7		εἴξαμεν τῇ ὑποταγῇ	1	yield in submission	Traduction alternative : "se soumettre", ou "écouter", ou "accepter ce qu'ils disaient", ou "être d'accord avec ce qu'ils voulaient faire".

GAL	2	6	afy6	figs-metonymy	ἐμοὶ…οὐδὲν προσανέθεντο	1	added nothing to me	Ici, **me** représente ce que Paul enseignait. Traduction alternative : " n'a rien ajouté à ce que j'enseigne " ou " n'a rien ajouté à mon message " (Voir : [[rc://en/ta/man/translate/figs-metonymy]]).

GAL	2	9	he6q	figs-metaphor	δοκοῦντες στῦλοι εἶναι	1	built up the church	Ici, **piliers** désigne les hommes qui étaient les chefs des croyants à Jérusalem et qui enseignaient aux gens la parole de Dieu. Traduction alternative : " qui étaient comme des piliers de l'église " ou " qui étaient reconnus comme des leaders importants " ou " qui étaient considérés comme ayant de l'autorité " (Voir : [[rc://en/ta/man/translate/figs-metaphor]]).

GAL	2	9	ie72	figs-abstractnouns	γνόντες τὴν χάριν τὴν δοθεῖσάν μοι	1	understood the grace that had been given to me	Le nom abstrait *grace** fait référence à la manière dont Dieu a donné à Paul la tâche d'annoncer l'Évangile aux non-juifs. Traduction alternative : " compris que Dieu avait été gentil avec moi et m'avait donné cette tâche " ou " compris la tâche que Dieu avait eu la gentillesse de me donner " (Voir : [[rc://en/ta/man/translate/figs-abstractnouns]]).

GAL	2	9	e5rm	translate-symaction	δεξιὰς ἔδωκαν…κοινωνίας	1	gave…the right hand of fellowship	Ici, **donner la main droite de la fraternité** est une action qui symbolise un gage d'amitié ou d'accord. Traduction alternative : "accueillis... comme des compagnons de travail" ou "accueillis... avec honneur" ou "serré la main... en signe d'accord avec nous" ou "convenu que nous étions partenaires dans ce travail"(Voir : [[rc://en/ta/man/translate/translate-symaction]]).

GAL	2	10	kqq6	figs-explicit	τῶν πτωχῶν…μνημονεύωμεν	1	remember the poor	Vous devrez peut-être expliciter comment ils devaient **se souvenir des pauvres**. Traduction alternative : "remember to take care of the needs of the poor" (Voir : [[rc://en/ta/man/translate/figs-explicit]])

GAL	2	11	c9h4	figs-metonymy	κατὰ πρόσωπον αὐτῷ ἀντέστην	1	I opposed him to his face	L'expression **to his face** est une métonymie. Traduction alternative : " Je l'ai confronté en personne " ou " J'ai contesté ses actions en personne " ou " Je me suis opposé à lui devant tout le monde " (Voir : [[rc://en/ta/man/translate/figs-metonymy]]).

GAL	2	12	z1kg	figs-explicit	φοβούμενος τοὺς ἐκ περιτομῆς	1	He was afraid of those who were demanding circumcision	La raison pour laquelle Pierre avait **peur** peut être énoncée explicitement. Traduction alternative : " Il avait peur que ces hommes qui exigeaient la circoncision jugent qu'il faisait quelque chose de mal " (voir : [[rc://en/ta/man/translate/figs-explicit]]).

GAL	2	12	fy79		τοὺς ἐκ περιτομῆς	1	those who were demanding circumcision	Ici, **> ceux de la circoncision <** représente les juifs qui sont devenus chrétiens, mais qui exigent que ceux qui croient en Christ vivent selon les coutumes juives comme la circoncision.

GAL	2	12	a6gv		ἀφώριζεν ἑαυτόν	1	kept away from	Traduction alternative : "rester loin de" ou "éviter"

GAL	2	14	sg53		οὐκ ὀρθοποδοῦσιν πρὸς τὴν ἀλήθειαν τοῦ εὐαγγελίου	1	not following the truth of the gospel	Traduction alternative : "ils ne vivaient pas comme des gens qui croient au véritable évangile" ou "ils n'obéissaient pas au véritable évangile".

GAL	2	14	z4fp	figs-rquestion	πῶς τὰ ἔθνη ἀναγκάζεις Ἰουδαΐζειν	1	how can you force the Gentiles to live like Jews?	Cette question rhétorique est une réprimande et peut être traduite par une déclaration. Le mot **tu** est singulier et se réfère à Pierre. Traduction alternative : "tu as tort de forcer les païens à vivre comme les juifs" (voir : [[rc://en/ta/man/translate/figs-rquestion]] et [[rc://en/ta/man/translate/figs-you]]).

GAL	2	15	tz45		οὐκ ἐξ ἐθνῶν ἁμαρτωλοί	1	not Gentile sinners	Le terme **> pécheurs <** était utilisé par les Juifs comme synonyme de non-Juifs. Traduction alternative : "Nous ne sommes pas des païens, ces gens qui ne connaissent pas Dieu" ou "Nous ne sommes pas des gens qui ne suivent pas la loi".

GAL	2	16	j6l1	figs-exclusive	εἰδότες	1	we	Le mot **sachant** pourrait se référer à : (1) Paul et d'autres personnes, mais pas les Galates (exclusivement), qui étaient principalement des Gentils (2) Paul et inclut les Galates. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

GAL	2	16	j7g5	figs-synecdoche	οὐ…σάρξ	1	no flesh	Le mot **chair** est une synecdoque pour désigner l'ensemble de la personne. Traduction alternative : "aucune personne" (Voir : [[rc://en/ta/man/translate/figs-synecdoche]])

GAL	2	17	vnp6		ζητοῦντες δικαιωθῆναι ἐν Χριστῷ	1	while we seek to be justified in Christ	La phrase **> être justifié en Christ <** signifie justifié parce que nous sommes unis au Christ et justifiés par ce que le Christ a fait.

GAL	2	17	sge2		εὑρέθημεν καὶ αὐτοὶ ἁμαρτωλοί	1	we too, were found to be sinners	La phrase **> ont également été trouvés pécheur <** pourrait signifier : (1) ils admettent qu'ils sont pécheurs (2) ils ne suivent plus la loi (3) les autres les considèrent comme pécheurs pour ne pas suivre la loi ou manger avec des non-juifs.

GAL	2	17	yy9s	figs-rquestion	μὴ γένοιτο	1	Absolutely not!	Traduction alternative : "Bien sûr, ce n'est pas vrai !" ou "non, jamais !". Cette expression donne la réponse négative la plus forte possible à la question rhétorique précédente **le Christ est-il un ministre du péché ?** (Voir : [[rc://en/ta/man/translate/figs-rquestion]])

GAL	2	18	r52x		παραβάτην ἐμαυτὸν συνιστάνω	1		**> Je me révèle être un transgresseur <** pourrait signifier : (1) Paul a péché en essayant d'obéir à nouveau à la loi (2) Paul a péché en abandonnant la loi pour un temps lorsqu'il a cru au Messie (3) la loi prouve que Paul est un pécheur lorsqu'il essaie de la suivre.

GAL	2	18	p6he	figs-metaphor	εἰ γὰρ ἃ κατέλυσα, ταῦτα πάλιν οἰκοδομῶ	1		**Car si je rebâtis de nouveau les choses que j'ai détruites** est une métaphore pour quelqu'un qui recommence à essayer d'obéir à la loi après avoir fait confiance au Messie. Il compare le fait d'essayer de suivre la loi à quelqu'un qui essaie de construire un bâtiment. Il compare quelqu'un qui fait confiance au Messie avec quelqu'un qui détruit le bâtiment qu'il essaie de construire. Il compare quelqu'un qui recommence à essayer de suivre la loi après avoir fait confiance au Messie à quelqu'un qui veut reconstruire le bâtiment qu'il a détruit. Traduction alternative : "Si je crois en Christ pour être justifié devant Dieu au lieu de suivre la loi, et qu'ensuite je change d'avis et recommence à suivre la loi pour me justifier." (Voir : [[rc://en/ta/man/translate/figs-metaphor]])

GAL	2	19	xe23		διὰ νόμου	1		L'expression **> par la loi <** pourrait se référer à : (1) l'expérience de Paul en essayant d'obéir à la loi (2) comment le Christ a payé les exigences de la loi. Traduction alternative : "Quand le Messie a accompli la loi"

GAL	2	19	r55d	figs-rquestion	ἐγὼ...νόμῳ ἀπέθανον	1		La phrase, **> Je...suis mort à la loi <** signifie que la loi n'a plus aucun pouvoir ou autorité sur Paul. Traduction alternative : "Je suis séparé de la loi"

GAL	2	19	xg5q	figs-rquestion	Χριστῷ συνεσταύρωμαι;	1		**> J'ai été crucifié avec le Christ <** pourrait signifier (1) par la mort du Messie, Paul était maintenant séparé de la loi (2) Paul est mort spirituellement et a échappé à la domination du péché et de la loi.

GAL	2	20	bb2x	guidelines-sonofgodprinciples	Υἱοῦ τοῦ Θεοῦ	1	Son of God	C'est un titre important pour Jésus. (Voir : [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])

GAL	2	21	tj6l	figs-litotes	οὐκ ἀθετῶ	1	I do not set aside	Paul énonce un point négatif pour souligner le point positif. Paul défend une accusation que d'autres ont portée contre lui. Il ne rejette pas la grâce de Dieu lorsqu'il refuse de suivre la loi. Cette phrase peut être traduite positivement. Autre traduction possible : "Je confirme la valeur de" ou "Je ne rejette pas la bonté de Dieu" ou "Je n'ignore pas la bonté de Dieu". (Voir : [[rc://en/ta/man/translate/figs-litotes]])

GAL	2	21	yl3c	figs-hypo	εἰ…διὰ νόμου δικαιοσύνη, ἄρα Χριστὸς δωρεὰν ἀπέθανεν	1	if righteousness could be gained through the law, then Christ died for nothing	Paul décrit une situation qui n'a jamais existé. (Voir : [[rc://en/ta/man/translate/figs-hypo]])

GAL	2	21	k6bg		εἰ…διὰ νόμου δικαιοσύνη	1	if righteousness could be gained through the law	Traduction alternative : "si les gens pouvaient devenir justes en obéissant à la loi" ou "s'il était possible pour une personne de devenir juste aux yeux de Dieu en obéissant à la loi".

GAL	2	21	rku5		ἄρα Χριστὸς δωρεὰν ἀπέθανεν	1	then Christ died for nothing	Traduction alternative : "alors le Christ n'aurait rien accompli en mourant" ou "alors il était inutile que le Christ meure".

